object,otype,majaxis_arcmin,minaxis_arcmin
2MASS J01002287-3341266,*,,
2MASS J01002495-3344567,*,,
2MASS J01004628-3342338,RG*,,
2MASS J01005748-3003520,*,,
2MASS J01020342+3141176,PM*,,
2MASS J01024512-7052105,RG*,,
2MASS J01035902+3047202,PM*,,
2MASS J01045962+0152210,Q?,,
2MASS J01051747-2637291,*,,
2MASS J01060605-3023525,UV,,
2MASS J01061061-7142016,Ce*,,
2MASS J01065621-2737283,*,,
2MASS J01101610-2842574,*,,
2MASS J01201296+6701057,PM*,,
2MASS J01325640+3035490,s?r,,
2MASS J01330981+3023535,s*r,,
2MASS J01331258+3040160,blu,,
2MASS J01332486+3017541,s*r,,
2MASS J01332834+3031273,s*r,,
2MASS J01332882+3100415,s*r,,
2MASS J01333140+3033517,Ce*,,
2MASS J01333993+3034188,GlC,,
2MASS J01334208+3051127,s*r,,
2MASS J01334880+3019131,s?r,,
2MASS J01334894+3039005,*,,
2MASS J01340235+3045437,s?r,,
2MASS J01340693+3025528,s?r,,
2MASS J01341224+3053141,s*r,,
2MASS J01341506+3037473,*,,
2MASS J01342151+3055412,s*r,,
2MASS J01343181+3027213,s*r,,
2MASS J01352541+3032285,*,,
2MASS J01395577+0619225,Sy1,,
2MASS J01542798+0448183,Sy1,0.12,0.12
2MASS J02044138+5708529,*,,
2MASS J02044856+5708154,SB*,,
2MASS J02045447+5706455,*,,
2MASS J02050126+5708242,*,,
2MASS J02210980+6158441,NIR,,
2MASS J02222161+6149443,NIR,,
2MASS J02225763+6158426,NIR,,
2MASS J02241320+6154255,NIR,,
2MASS J02241725+6203375,NIR,,
2MASS J02254334+6206154,Y*O,,
2MASS J02254485+6203413,Y*O,,
2MASS J02261314+6147537,NIR,,
2MASS J02261528+6127403,*,,
2MASS J02263724+6148278,*,,
2MASS J02265336+6157006,Y*O,,
2MASS J02272227+6154426,Y*?,,
2MASS J02274721+6155251,NIR,,
2MASS J02294961+6135426,Y*O,,
2MASS J02295504+6118060,Y*O,,
2MASS J02302948+6119446,Y*O,,
2MASS J02303569+6134487,Y*O,,
2MASS J02310240+6133293,Y*O,,
2MASS J02310810+6132015,Y*O,,
2MASS J02313092+6135142,Y*O,,
2MASS J02314056+6145142,Y*O,,
2MASS J02314978+6132414,Y*O,,
2MASS J02315280+6141094,Y*O,,
2MASS J02315442+6121180,Y*O,,
2MASS J02321128+6112138,Y*O,,
2MASS J02324129+6130581,Y*O,,
2MASS J02324149+6127452,Y*O,,
2MASS J02324603+6127568,Y*O,,
2MASS J02325397+2806272,PM*,,
2MASS J02330859+6120523,Y*O,,
2MASS J02334867+6144487,Y*O,,
2MASS J02335330+6118262,Y*O,,
2MASS J02340144+6147368,Y*O,,
2MASS J02340884+5659267,*,,
2MASS J02341209+6111209,Y*O,,
2MASS J02341742+6144055,Y*O,,
2MASS J02343221+6147078,Y*O,,
2MASS J02343565+6129263,Y*O,,
2MASS J02344193+6130254,Y*O,,
2MASS J02344988+5923298,*,,
2MASS J02345341+6125504,Y*O,,
2MASS J02353126+6110057,Y*O,,
2MASS J02360953+6133522,dS*,,
2MASS J02362718+6117290,Y*O,,
2MASS J02383626-3445200,PM*,,
2MASS J02394011-3434024,RG*,,
2MASS J02394336-3413485,RG*,,
2MASS J02400007-3429507,RG*,,
2MASS J02424404-0001196,,,
2MASS J02522071+0602212,RS*,,
2MASS J03022876+0007117,LM*,,
2MASS J03024078+0010235,G,,
2MASS J03181744+1824202,PM*,,
2MASS J03222421+4732120,Y*?,,
2MASS J03223353-3715123,*,,
2MASS J03224302-3708597,*,,
2MASS J03283107+3117040,LM*,,
2MASS J03283254+3108351,*,,
2MASS J03283450+3100510,Y*O,0.237,0.189
2MASS J03283641+3128569,Y*?,,
2MASS J03283900+3108076,NIR,,
2MASS J03283954+3121571,*,,
2MASS J03285110+3112564,Y*?,,
2MASS J03285216+3122453,Or*,,
2MASS J03285496+3118153,Y*O,0.167,0.167
2MASS J03285558+3130322,Y*O,,
2MASS J03285573+3130580,*,,
2MASS J03285663+3118356,Or*,,
2MASS J03285694+3116222,Y*O,,
2MASS J03285741+3119505,Or*,,
2MASS J03285842+3122175,Y*O,,
2MASS J03290268+3119056,Y*O,,
2MASS J03290332+3123148,Y*O,,
2MASS J03290386+3121487,Or*,,
2MASS J03290794+3122515,Y*O,,
2MASS J03290842+3115284,NIR,,
2MASS J03290915+3121445,Y*O,,
2MASS J03290964+3122564,Y*O,,
2MASS J03291184+3121557,Y*?,,
2MASS J03291243+3114565,Or*,,
2MASS J03291655+3121025,Y*O,,
2MASS J03291667+3116182,Y*O,,
2MASS J03292130+3123464,Y*O,,
2MASS J03292141+3115552,*,,
2MASS J03292588+3130276,NIR,,
2MASS J03292681+3126475,Or*,,
2MASS J03292805+3118391,*,,
2MASS J03292895+3107408,*,,
2MASS J03293431+3123427,*,,
2MASS J03294116+3144371,*,,
2MASS J03320732+3029361,AB?,,
2MASS J03333534+4902133,Y*O,,
2MASS J03383114-3528099,*,,
2MASS J03414461-0141413,Sy1,,
2MASS J03433521+2524312,Y*O,,
2MASS J03434860+2332218,Y*O,,
2MASS J03445991-2451593,Sy1,,
2MASS J03450400+2515282,Y*O,,
2MASS J03460275+2344146,Y*O,,
2MASS J03460651+2350204,Y*O,,
2MASS J03461174+2437203,Y*O,,
2MASS J03472534+2402570,Y*O,,
2MASS J03481705+2337435,*,,
2MASS J04074820-1211041,PM*,,
2MASS J04182147+1658470,TT*,,
2MASS J04193697+1433329,LM*,,
2MASS J04193856+2146142,*,,
2MASS J04213020+1508249,*,,
2MASS J04244506+2701447,TT*,,
2MASS J04285859+1517386,LM*,,
2MASS J04311242+1750475,Y*?,,
2MASS J04314444+1808315,Y*O,,
2MASS J04325119+1730092,Or*,,
2MASS J04484817+2538123,AB?,,
2MASS J04521581-6919547,*,,
2MASS J04522342-6922365,*,,
2MASS J04531074-7001255,*,,
2MASS J04533852-6959459,*,,
2MASS J04540684-6957191,*,,
2MASS J04541082-6957590,*,,
2MASS J04541398-6957501,*,,
2MASS J04541531-6959265,*,,
2MASS J04542049-6959020,LP*,,
2MASS J04544306-6713180,*,,
2MASS J04545320-6712116,*,,
2MASS J04550248-6712114,*,,
2MASS J04551267-6713298,*,,
2MASS J04551271-6709288,*,,
2MASS J04553105-6711185,*,,
2MASS J04553561-6708556,Pe*,,
2MASS J04562393-6629355,*,,
2MASS J04564440-6626569,*,,
2MASS J04564649-6623094,*,,
2MASS J04564698-6628199,*,,
2MASS J04565079-6629367,*,,
2MASS J04565104-6624521,*,,
2MASS J04565572-6627389,*,,
2MASS J04570157-6627484,*,,
2MASS J04570366-6624117,*,,
2MASS J04570608-6623331,*,,
2MASS J04590306-6559223,LP*,,
2MASS J04591166-6600262,LP*,,
2MASS J04591866-7009092,*,,
2MASS J04591942-7007265,*,,
2MASS J04592623-7009312,*,,
2MASS J04593111-7009020,*,,
2MASS J04593416-7007298,*,,
2MASS J04594124-7013476,*,,
2MASS J04595011-7009502,*,,
2MASS J04595308-7011350,*,,
2MASS J04595316-7014132,*,,
2MASS J05001031-7010373,*,,
2MASS J05001105-7014318,*,,
2MASS J05001164-7011581,*,,
2MASS J05002386-7010595,*,,
2MASS J05003113-7010199,*,,
2MASS J05050146-6802137,*,,
2MASS J05051336-6803295,*,,
2MASS J05051381-6802460,LP*,,
2MASS J05091011-6841368,LP*,,
2MASS J05091423-6907448,LP*,,
2MASS J05094237-6845160,LP*,,
2MASS J05135384-6726248,*,,
2MASS J05135828-6726562,*,,
2MASS J05140335-6728429,*,,
2MASS J05165464+0716192,Y*O,,
2MASS J05215494-6753534,*,,
2MASS J05221392-6758372,*,,
2MASS J05222057-6756482,*,,
2MASS J05222317-6753576,*,,
2MASS J05224097-7119067,pA?,0.19,0.19
2MASS J05252537-6729556,*,,
2MASS J05253532-6728566,*,,
2MASS J05254070-6730412,*,,
2MASS J05255033-6727114,LP*,,
2MASS J05260895-6917385,*,,
2MASS J05261099-6918094,*,,
2MASS J05261191-6731517,*,,
2MASS J05261340-6919515,*,,
2MASS J05262209-6731592,*,,
2MASS J05262346-6918564,LP*,,
2MASS J05263076-6919328,*,,
2MASS J05263085-6850579,*,,
2MASS J05263267-6918402,*,,
2MASS J05263369-6919260,*,,
2MASS J05263733-6849405,*,,
2MASS J05263884-6848284,*,,
2MASS J05264258-6850499,*,,
2MASS J05264486-6918073,*,,
2MASS J05264488-6850358,*,,
2MASS J05265086-6849124,*,,
2MASS J05265189-6850479,*,,
2MASS J05284449-6614039,C*,,
2MASS J05314705-6840374,*,,
2MASS J05314857-6839089,*,,
2MASS J05315112-6839265,*,,
2MASS J05321381-6839358,*,,
2MASS J05321631-6740275,*,,
2MASS J05330623-6743365,*,,
2MASS J05331437-6742472,*,,
2MASS J05332188-6743200,*,,
2MASS J05332429-6742440,LP*,,
2MASS J05340535-0513380,*,,
2MASS J05340944-0512381,*,,
2MASS J05341036-0519391,Y*O,,
2MASS J05341393-0524311,*,,
2MASS J05341527-0539532,*,,
2MASS J05342153-0510535,RG*,,
2MASS J05342457-0534187,*,,
2MASS J05342566-0521576,Or*,,
2MASS J05343202-0510231,PM*,,
2MASS J05343382-0527181,Or*,,
2MASS J05343417-0505170,TT*,,
2MASS J05343568-0535520,TT*,,
2MASS J05343594-0515241,TT*,,
2MASS J05343635-0540076,*,,
2MASS J05343672-0538331,*,,
2MASS J05343736-0653559,Or*,,
2MASS J05344000-0526040,Or*,,
2MASS J05344361-0519186,*,,
2MASS J05344416-0506432,*,,
2MASS J05344441-0526061,TT*,,
2MASS J05344700-0523575,Y*O,,
2MASS J05344765-0537250,Y*O,,
2MASS J05344797-0539404,*,,
2MASS J05344845-0531072,Or*,,
2MASS J05344907-0528089,Or*,,
2MASS J05345009-0517121,Or*,,
2MASS J05345030-0515046,*,,
2MASS J05345235-0533491,Y*O,,
2MASS J05345267-0521252,Or*,,
2MASS J05345483-0525125,TT*,,
2MASS J05345586-0508211,*,,
2MASS J05345612-0528558,Y*O,,
2MASS J05345737-0514334,TT*,,
2MASS J05345801-0516019,Ir*,,
2MASS J05345819-0511536,TT*,,
2MASS J05345946-0530054,*,,
2MASS J05350067-0532532,Ir*,,
2MASS J05350132-0518212,Or*,,
2MASS J05350141-0538591,*,,
2MASS J05350182-0530193,Or*,,
2MASS J05350278-0540310,Y*O,,
2MASS J05350299-0538405,Or*,,
2MASS J05350344-0523327,Or*,,
2MASS J05350458-0528266,Or*,,
2MASS J05350545-0525558,Or*,,
2MASS J05350566-0520214,Y*?,,
2MASS J05350589-0508382,Y*O,,
2MASS J05350775-0531538,*,,
2MASS J05350786-0517053,Or*,,
2MASS J05350798-0518266,Y*O,,
2MASS J05350841-0522302,Y*?,,
2MASS J05350863-0538305,Y*O,,
2MASS J05350904-0520172,Or*,,
2MASS J05350947-0520588,Or*,,
2MASS J05350985-0519339,Or*,,
2MASS J05351021-0523215,Or*,,
2MASS J05351165-0524213,Or*,,
2MASS J05351165-0531011,TT*,,
2MASS J05351194-0529327,Y*O,,
2MASS J05351272-0515432,Y*O,,
2MASS J05351277-0520349,Or*,,
2MASS J05351304-0525218,*,,
2MASS J05351331-0537158,Or*,,
2MASS J05351382-0527368,Or*,,
2MASS J05351397-0521233,Or*,,
2MASS J05351431-0523082,*,,
2MASS J05351463-0516461,Or*,,
2MASS J05351466-0508520,Or*,,
2MASS J05351494-0523392,LM*,,
2MASS J05351534-0519021,Or*,,
2MASS J05351543-0523454,Or*,,
2MASS J05351553-0508588,Ir*,,
2MASS J05351559-0534466,Or*,,
2MASS J05351577-0524247,Y*O,,
2MASS J05351609-0524112,Or*,,
2MASS J05351674-0528372,Y*O,,
2MASS J05351685-0507478,Y*O,,
2MASS J05351691-0518410,Y*O,,
2MASS J05351743-0530253,TT*,,
2MASS J05351754-0525427,Or*,,
2MASS J05351775-0522307,Y*?,,
2MASS J05351797-0516451,Or*,,
2MASS J05351809-0515461,TT*,,
2MASS J05351820-0516340,Or*,,
2MASS J05351826-0529538,Or*,,
2MASS J05351836-0524267,Or*,,
2MASS J05351839-0520203,Or*,,
2MASS J05351875-0522021,Or*,,
2MASS J05351885-0521411,Or*,,
2MASS J05351894-0522187,Or*,,
2MASS J05351898-0537234,Y*O,,
2MASS J05351925-0519120,Y*O,,
2MASS J05351945-0516083,Y*O,,
2MASS J05351979-0514053,Or*,,
2MASS J05352005-0522268,Or*,,
2MASS J05352050-0645408,TT*,,
2MASS J05352054-0524208,Or*,,
2MASS J05352062-0524464,Or*,,
2MASS J05352066-0509028,Y*O,,
2MASS J05352132-0524114,Or*,,
2MASS J05352184-0523065,Or*,,
2MASS J05352192-0528273,TT*,,
2MASS J05352208-0524327,Or*,,
2MASS J05352211-0522340,Or*,,
2MASS J05352247-0523018,Y*?,,
2MASS J05352260-0513283,Or*,,
2MASS J05352350-0534233,Or*,,
2MASS J05352365-0523319,Or*,,
2MASS J05352365-0523463,Or*,,
2MASS J05352380-0523342,Or*,,
2MASS J05352411-0518544,Y*O,,
2MASS J05352431-0528441,Or*,,
2MASS J05352474-0506563,*,,
2MASS J05352496-0524014,Y*?,,
2MASS J05352530-0529127,Y*O,,
2MASS J05352543-0523332,Or*,,
2MASS J05352547-0534028,TT*,,
2MASS J05352574-0505579,Y*O,,
2MASS J05352576-0514321,*,,
2MASS J05352605-0521210,Or*,,
2MASS J05352630-0527439,Or*,,
2MASS J05352676-0520532,Y*?,,
2MASS J05352742-0509038,LM*,,
2MASS J05352795-0522469,*,,
2MASS J05352796-0539105,*,,
2MASS J05352804-0517202,TT*,,
2MASS J05352877-0541339,TT*,,
2MASS J05352929-0527221,*,,
2MASS J05353033-0527370,Or*,,
2MASS J05353071-0524312,Or*,,
2MASS J05353264-0515514,Or*,,
2MASS J05353360-0522098,Y*O,,
2MASS J05353415-0527271,*,,
2MASS J05353433-0624227,Or*,,
2MASS J05353522-0526550,Or*,,
2MASS J05353534-0511114,TT*,,
2MASS J05353652-0539332,*,,
2MASS J05353737-0623330,*,,
2MASS J05353812-0528336,Or*,,
2MASS J05353845-0510090,*,,
2MASS J05353856-0508033,Y*O,,
2MASS J05353883-0512154,*,,
2MASS J05353920-0516355,Y*O,,
2MASS J05353964-0527502,Or*,,
2MASS J05354007-0527589,Y*O,,
2MASS J05354060-0522321,Y*O,,
2MASS J05354100-0537083,Em*,,
2MASS J05354112-0535342,Y*O,,
2MASS J05354257-0533489,Or*,,
2MASS J05354360-0542322,Y*O,,
2MASS J05354365-0517257,Y*O,,
2MASS J05354379-0514392,*,,
2MASS J05354417-0628163,Or*,,
2MASS J05354562-0513361,Or*,,
2MASS J05354661-0522243,TT*,,
2MASS J05354754-0507098,*,,
2MASS J05355145-0508020,NIR,,
2MASS J05355192-0514169,*,,
2MASS J05355498-0522355,Or*,,
2MASS J05355853-0532487,*,,
2MASS J05360046-0505539,*,,
2MASS J05360259-0534313,*,,
2MASS J05360282-0504236,*,,
2MASS J05360282-0532543,TT*,,
2MASS J05360401-0513527,*,,
2MASS J05360725-0531147,*,,
2MASS J05360738-0530274,TT*,,
2MASS J05361252-0539028,*,,
2MASS J05361679-0517410,Ir*,,
2MASS J05361754-0537573,*,,
2MASS J05361847-0531027,Y*O,,
2MASS J05361878-0512182,TT*,,
2MASS J05362204-0535216,*,,
2MASS J05362208-0530557,*,,
2MASS J05362314-0511465,Or*,,
2MASS J05362773-0621573,Y*O,,
2MASS J05363058-0538194,*,,
2MASS J05374535-0648282,*,,
2MASS J05375661-0638009,HB*,,
2MASS J05380160-0722218,Y*?,,
2MASS J05380752-0708291,Y*O,,
2MASS J05383630-6900420,*,,
2MASS J05384336-0701348,Y*O,,
2MASS J05384418-0700404,Y*O,,
2MASS J05385527-0651184,*,,
2MASS J05400596-0819354,*,,
2MASS J05402949-0749015,*,,
2MASS J05403266-0712300,*,,
2MASS J05403688-0853481,Y*O,,
2MASS J05403837-0800361,Y*O,,
2MASS J05404470-0738048,Or*,,
2MASS J05413093-7122027,*,,
2MASS J05414049-7122074,*,,
2MASS J05420240-7121586,*,,
2MASS J05421913+3739179,*,,
2MASS J05424524-6750126,*,,
2MASS J05424706-0817069,Y*O,,
2MASS J05430957-0829271,Y*O,0.127,0.127
2MASS J05431360-6748133,*,,
2MASS J05431548-0915251,*,,
2MASS J05432409-6748385,*,,
2MASS J05432472-6752181,*,,
2MASS J05433272-6750160,*,,
2MASS J05440011-6747266,*,,
2MASS J05454234+0017128,*,,
2MASS J05455289+0034123,*,,
2MASS J05455691+0027365,*,,
2MASS J05461186+0032259,Or*,,
2MASS J05462509+0005412,Or*,,
2MASS J05463489+0004206,TT*,,
2MASS J05465644+0005120,Y*O,,
2MASS J06041555+2308281,blu,,
2MASS J06041692+2404144,*,,
2MASS J06042096+2429025,*,,
2MASS J06052358+2445199,blu,,
2MASS J06064084+2223126,blu,,
2MASS J06071946-0623208,Y*O,,
2MASS J06071965-0621307,*,,
2MASS J06072028-0616136,*,,
2MASS J06072127-0628129,*,,
2MASS J06072199-0620093,Y*O,,
2MASS J06072467-0617005,*,,
2MASS J06072545-0620114,Y*O,,
2MASS J06072989-0621468,Y*O,,
2MASS J06073001-0623000,*,,
2MASS J06073127-0627371,Y*O,,
2MASS J06073921-0620430,*,,
2MASS J06073944-0620250,Y*O,,
2MASS J06074118-0619100,Y*O,,
2MASS J06074165-0620588,*,,
2MASS J06074221-0620178,*,,
2MASS J06074302-0624101,Y*O,,
2MASS J06074399-0620490,Y*O,,
2MASS J06074426-0623256,Y*O,,
2MASS J06074426-0624330,Y*O,,
2MASS J06074439-0622068,*,,
2MASS J06074461-0619348,*,,
2MASS J06074478-0619215,Y*O,,
2MASS J06074479-0620303,*,,
2MASS J06074515-0625436,Y*O,,
2MASS J06074522-0622007,*,,
2MASS J06074545-0617036,*,,
2MASS J06074615-0623046,Y*O,,
2MASS J06074710-0623338,Y*O,,
2MASS J06074768-0616126,Y*O,,
2MASS J06074779-0624100,*,,
2MASS J06074838-0621255,Y*O,,
2MASS J06074856-0621543,*,,
2MASS J06074869-0619193,*,,
2MASS J06074965-0623227,*,,
2MASS J06074971-0622014,Y*O,,
2MASS J06074988-0623577,*,,
2MASS J06075130-0624142,*,,
2MASS J06075174-0620361,Y*O,,
2MASS J06075224-0615580,*,,
2MASS J06075224-0629189,*,,
2MASS J06075245-0623066,Y*O,,
2MASS J06075312-0619441,Y*O,,
2MASS J06075387-0618287,*,,
2MASS J06075408-0617457,Y*O,,
2MASS J06075529-0624351,*,,
2MASS J06075530-0619076,*,,
2MASS J06075530-0623393,*,,
2MASS J06080045-0622254,*,,
2MASS J06080324-0622438,*,,
2MASS J06080877-0624209,*,,
2MASS J06081035-0622050,*,,
2MASS J06081225-0625583,Y*O,,
2MASS J06081242-0616107,*,,
2MASS J06081271-0619531,*,,
2MASS J06081308-0625437,*,,
2MASS J06081618-0627434,Y*O,,
2MASS J06081697-0619357,Y*O,,
2MASS J06081710-0624504,LP?,,
2MASS J06081774-0620109,*,,
2MASS J06081807-0622108,Y*O,,
2MASS J06082889-7350136,LP*,,
2MASS J06125506+2210136,CV*,,
2MASS J06212569+0403289,*,,
2MASS J06245752+2226314,blu,,
2MASS J06250061+2106436,blu,,
2MASS J06273463+0900195,*,,
2MASS J06324853+0003293,*,,
2MASS J06410084-5105479,C*,,
2MASS J06411054-5055528,RG*,,
2MASS J06430499-5049324,RR*,,
2MASS J06431801-5046435,RR*,,
2MASS J06464313+0117428,NIR,,
2MASS J06464413+0118300,NIR,,
2MASS J06464454+0117277,NIR,,
2MASS J06464534+0116195,NIR,,
2MASS J06464545+0121005,NIR,,
2MASS J06464623+0120447,NIR,,
2MASS J06464699+0117521,*,,
2MASS J06464968+0118262,Y*?,,
2MASS J06465133+0119504,NIR,,
2MASS J06465147+0118114,Y*?,,
2MASS J06465163+0116251,Y*?,,
2MASS J06465202+0120456,*,,
2MASS J06465263+0119374,*,,
2MASS J06465407+0118403,NIR,,
2MASS J06465418+0121339,NIR,,
2MASS J06465502+0118532,NIR,,
2MASS J06465627+0116239,NIR,,
2MASS J06465760+0120569,NIR,,
2MASS J06465770+0116420,*,,
2MASS J06470065+0117429,NIR,,
2MASS J06470212+0120418,NIR,,
2MASS J06470244+0119587,Y*?,,
2MASS J06470309+0117161,*,,
2MASS J06470326+0118411,*,,
2MASS J06504875-0217385,LP*,,
2MASS J06543524-0042221,Y*O,0.295,0.165
2MASS J06563376+0431382,*,,
2MASS J06563582+0429502,*,,
2MASS J06563645+0428594,RG*,,
2MASS J06564269+0429290,*,,
2MASS J07091922-1049512,Y*?,,
2MASS J07183408-2458010,Y*O,,
2MASS J07183467-2456118,Y*O,,
2MASS J07183625-2500000,Y*O,,
2MASS J07215104+6704330,GiC,,
2MASS J07371099-2623023,*,,
2MASS J07380988+3852006,LP*,,
2MASS J07460906-3038576,*,,
2MASS J07474206-3353165,*,,
2MASS J07492728-3250464,*,,
2MASS J07571292-3202435,*,,
2MASS J08031311-3244285,*,,
2MASS J08064260-3630068,Em*,,
2MASS J08091123-3609001,EmO,,
2MASS J08091665-3113093,*,,
2MASS J08254384-5100326,Y*O,,
2MASS J08290917+5612356,Sy1,,
2MASS J08490880+0206220,BLL,,
2MASS J08514740+1150369,G,0.28273,0.205827
2MASS J09122021-6452204,LP*,,
2MASS J09134545+4056282,Sy2,,
2MASS J10123587-0141152,RG*,,
2MASS J10124155-0131571,RG*,,
2MASS J10124182-0145273,RG*,,
2MASS J10172166+5028153,LM*,,
2MASS J10235266-5746016,Y*?,,
2MASS J10235955-5745225,Y*?,,
2MASS J10275592+1715246,*,,
2MASS J10435197-5936466,Y*O,,
2MASS J10435397-5930395,Y*O,,
2MASS J10445220-5944212,Ae*,,
2MASS J10451484-5943341,Y*O,,
2MASS J10470063-5957242,Y*O,,
2MASS J10582651+0101210,Q?,,
2MASS J11031293+4141549,Sy1,,
2MASS J11074556+4602261,*,,
2MASS J11115320-6118224,Y*O,,
2MASS J11132766+2210396,RG*,,
2MASS J11385877+4503385,Sy1,,
2MASS J11531324-6205210,TT*,,
2MASS J11565449+0932410,rG,,
2MASS J12005101+3417025,Sy1,,
2MASS J12061110-6115019,Y*?,,
2MASS J12081803-2938000,BLL,,
2MASS J12112940+4528202,*,,
2MASS J12252710+1810352,*,,
2MASS J12254116+2352480,PM*,,
2MASS J12311026+3352185,QSO,,
2MASS J12390683-2642469,RG*,,
2MASS J12391146-2645161,AB*,,
2MASS J12392019-2648159,RG*,,
2MASS J12392149-2642307,RG*,,
2MASS J12392482-2646086,RG*,,
2MASS J12392597-2644068,RG*,,
2MASS J12392619+4625462,Sy1,,
2MASS J12392830-2642344,RG*,,
2MASS J12392936-2643319,RG*,,
2MASS J12392944-2645142,RG*,,
2MASS J12393095-2644315,RG*,,
2MASS J12393564-2644493,RG*,,
2MASS J12393649-2641223,RG*,,
2MASS J12393863-2641270,RG*,,
2MASS J12394351-2642157,RG*,,
2MASS J12563033-6302498,EB*,,
2MASS J13082768+2928047,Pe*,,
2MASS J13192801+2744559,rG,0.364767,0.203029
2MASS J13225789+3622599,Sy1,,
2MASS J13253597-4731309,RG*,,
2MASS J13261120-4728435,RG*,,
2MASS J13261217-4725305,RG*,,
2MASS J13263483-4734110,RG*,,
2MASS J13264822-4732412,RG*,,
2MASS J13265554-4734234,RG*,,
2MASS J13294360+3153368,Sy1,0.26,0.23
2MASS J13393860+2730339,Q?,,
2MASS J13403169+2705418,AGN,0.0851993,0.0851993
2MASS J13420657+0505237,Sy1,,
2MASS J13421508+2823256,LP*,,
2MASS J13473599-6037037,Sy2,,
2MASS J13563279+2103523,Sy1,,
2MASS J14411756+3450535,Sy1,,
2MASS J14544044+4550088,Sy1,,
2MASS J15155478-0006549,RG*,,
2MASS J15160199-0008027,RG*,,
2MASS J15180987+0210088,AB*,,
2MASS J15182382+0201069,AB*,,
2MASS J15182681+0204085,RG*,,
2MASS J15183103+0205540,RG*,,
2MASS J15183351+0206360,RG*,,
2MASS J15183505+0201068,RG*,,
2MASS J15183626+0201165,RG*,,
2MASS J15183661+0204191,RG*,,
2MASS J15184014+0203060,RG*,,
2MASS J15184734+0202509,AB*,,
2MASS J15184766+0203127,RG*,,
2MASS J15184946+0207037,RG*,,
2MASS J15220907+1358339,QSO,,
2MASS J15322111+0457326,GiC,0.43287,0.263834
2MASS J15343735-5955086,Pu*,,
2MASS J15574819-5424541,HXB,,
2MASS J16043466+1742483,GiC,0.3,0.26
2MASS J16044026+2103267,*,,
2MASS J16045872-5513192,Pu*,,
2MASS J16151905-0936132,Sy1,,
2MASS J16231442-2636055,RG*,,
2MASS J16232845-2632541,RG*,,
2MASS J16234268-2631209,AB*,,
2MASS J16235946-2627572,AB*,,
2MASS J16240301-2624034,AB*,,
2MASS J16251521-2511540,Or*,,
2MASS J16251727-2511054,Y*O,,
2MASS J16340367-2442572,Y*?,,
2MASS J16354349-2443388,Y*?,,
2MASS J16400347-4851541,NIR,,
2MASS J16400445-4851451,Or*,,
2MASS J16411850+3620036,RG*,,
2MASS J16411958+3621154,AB*,,
2MASS J16412735+3629304,RG*,,
2MASS J16412815+3625274,AB*,,
2MASS J16412884+3631454,RG*,,
2MASS J16412908+3623544,RG*,,
2MASS J16414108+3627550,AB*,,
2MASS J16414255+3626563,RG*,,
2MASS J16414256+3629576,RG*,,
2MASS J16414661+3630050,RG*,,
2MASS J16420331+3627553,RG*,,
2MASS J16420662+3628587,RG*,,
2MASS J16421093+3624332,RG*,,
2MASS J16445089-2356195,Y*?,,
2MASS J16490082-1417108,TT*,,
2MASS J16564039-0409169,RG*,,
2MASS J17004888-4139214,HXB,,
2MASS J17163427+4307363,AB*,,
2MASS J17163636+4306562,RG*,,
2MASS J17164620+4304586,RG*,,
2MASS J17164867+4306240,RG*,,
2MASS J17170033+4311478,AB*,,
2MASS J17170434+4304107,RG*,,
2MASS J17171967+4314422,AB*,,
2MASS J17172238+4306563,AB*,,
2MASS J17190684-1832427,LP*,,
2MASS J17194237+5758376,C*,,
2MASS J17195571-3557412,*,,
2MASS J17195602-3554516,Y*O,,
2MASS J17195603-3609253,NIR,,
2MASS J17195888-3556056,NIR,,
2MASS J17195942-3556135,NIR,,
2MASS J17200040-3558218,NIR,,
2MASS J17200072-3556079,Y*O,,
2MASS J17200085-3557061,NIR,,
2MASS J17200154-3557577,NIR,,
2MASS J17200288-3558058,Y*O,,
2MASS J17200722+5755434,*,,
2MASS J17201417-3554561,Y*O,,
2MASS J17203451-3550450,NIR,,
2MASS J17203462-3552361,NIR,,
2MASS J17204938-3546484,Y*O,,
2MASS J17205357-3546362,Y*O,,
2MASS J17205531-3547327,Y*?,,
2MASS J17244018-4957309,LP*,,
2MASS J17303052-2128457,*,,
2MASS J17360070-1529466,AG?,,
2MASS J17460334+1337437,PM*,,
2MASS J17530107-3436418,NIR,,
2MASS J17534087-3435104,*,,
2MASS J17540896-3438039,*,,
2MASS J17542825-3450351,*,,
2MASS J17543113-3439541,SB*,,
2MASS J17543987-3440304,*,,
2MASS J18181344-1348591,*,,
2MASS J18181866-1401345,*,,
2MASS J18182831-1348099,Y*O,,
2MASS J18183594-1346419,Y*O,,
2MASS J18183742-1349221,Y*O,,
2MASS J18183978-1347352,Or*,,
2MASS J18184096-1345296,Y*O,,
2MASS J18184247-1348469,Y*O,,
2MASS J18185360-1344550,Y*O,,
2MASS J18185553-1348019,Y*O,,
2MASS J18191051-2046578,Y*O,,
2MASS J18191220-2047297,Y*O,,
2MASS J18192109-2045558,Y*?,,
2MASS J18193096-1346347,Y*?,,
2MASS J18193970-1328039,*,,
2MASS J18194506-1328299,*,,
2MASS J18201920-1338398,*,,
2MASS J18202084-1349565,*,,
2MASS J18202980-1342450,*,,
2MASS J18203470-1353194,*,,
